week_end,sourcecred_score
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,2
2022-06-26,4
2022-07-03,3
2022-07-10,5
2022-07-17,4
2022-07-24,2
2022-07-31,0
2022-08-07,1
2022-08-14,5
2022-08-21,6
2022-08-28,8
2022-09-04,7
2022-09-11,10
2022-09-18,9
2022-09-25,12
2022-10-02,10
2022-10-09,13
2022-10-16,15
2022-10-23,12
2022-10-30,10
