week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,121,0,0
2022-12-04,121,0,0
2022-12-11,109,0,0
2022-12-18,109,0,0
2022-12-25,105,300,0
2022-12-28,111,300,0
2023-01-01,111,0,0
2023-01-09,108,0,0
2023-01-10,108,0,0
2023-01-15,108,0,0
2023-01-16,105,0,0
2023-01-22,105,0,0
2023-01-29,111,0,0
2023-02-05,111,0,0
2023-02-12,105,0,0
2023-02-19,102,0,0
2023-02-26,102,0,0
2023-03-24,126,225,0
2023-03-26,132,240,0
2023-04-02,135,150,0
2023-04-09,138,99,0
2023-04-16,138,0,0
2023-04-30,138,0,0
2023-05-07,150,300,0
2023-05-28,150,0,0
2023-06-18,414,0,0
2023-06-25,414,0,0
2023-07-16,475,351,51
2023-07-23,532,56,56
2023-07-30,531,151,1
2023-09-01,136,0,0
2023-09-10,136,0,0
2023-09-17,130,0,0
2023-09-24,127,0,0
2023-10-01,127,0,0
2023-10-02,127,0,0
