week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,273,300,
2022-12-04,273,0,
2022-12-11,276,0,
2022-12-18,276,0,
2022-12-25,264,0,
2022-12-28,255,0,
2023-01-01,255,0,
2023-01-09,246,0,
2023-01-10,246,0,
2023-01-15,246,0,
2023-01-16,237,0,
2023-01-22,237,0,
2023-01-29,240,0,
2023-02-05,240,150,
2023-02-12,234,150,
2023-02-19,237,0,
2023-02-26,237,0,
2023-03-24,216,75,
2023-03-26,210,60,
2023-04-02,213,150,
2023-04-09,210,99,
2023-04-16,210,0,
2023-04-30,210,0,
2023-05-07,195,0,
2023-05-28,195,0,
2023-06-18,189,0,
2023-06-25,189,0,
2023-07-16,189,0,0
2023-07-23,189,0,
2023-07-30,189,0,
2023-09-01,171,0,
2023-09-10,171,0,
2023-09-17,165,0,
2023-09-24,162,0,
2023-10-01,162,0,
