week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,192,0,
2022-12-04,192,0,
2022-12-11,180,0,
2022-12-18,180,300,
2022-12-25,186,0,
2022-12-28,177,0,
2023-01-01,177,0,
2023-01-09,171,0,
2023-01-10,171,0,
2023-01-15,171,0,
2023-01-16,165,0,
2023-01-22,165,0,
2023-01-29,159,0,
2023-02-05,159,0,
2023-02-12,150,0,
2023-02-19,144,0,
2023-02-26,144,0,
2023-03-24,123,0,
2023-03-26,120,0,
2023-04-02,117,0,
2023-04-09,120,99,
2023-04-16,120,0,
2023-04-30,120,0,
2023-05-07,111,0,
2023-05-28,111,0,
2023-06-18,105,0,
2023-06-25,105,0,
