week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,87,0,0
2022-12-04,87,0,0
2022-12-11,93,0,0
2022-12-18,93,300,0
2022-12-25,102,300,0
2022-12-28,108,0,0
2023-01-01,108,0,0
2023-01-09,118,300,0
2023-01-10,118,300,0
2023-01-15,118,300,0
2023-01-16,124,300,0
2023-01-22,124,300,0
2023-01-29,121,0,0
2023-02-05,121,300,0
2023-02-12,133,150,0
2023-02-19,136,0,0
2023-02-26,137,1,1
2023-03-24,150,225,0
2023-03-26,156,240,0
2023-04-02,150,0,0
2023-04-09,159,201,0
2023-04-16,159,0,0
2023-04-30,159,0,0
2023-05-07,156,99,0
2023-05-28,156,0,0
2023-06-18,581,0,0
2023-06-25,581,0,
2023-07-16,609,30,30
2023-07-23,614,5,5
2023-07-30,611,151,1
2023-09-01,147,0,0
