week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,219,300,
2022-12-04,219,0,
2022-12-11,216,0,
2022-12-18,216,0,
2022-12-25,207,0,
2022-12-28,201,0,
2023-01-01,201,0,
2023-01-09,204,300,
2023-01-10,204,300,
2023-01-15,204,0,
2023-01-16,198,0,
2023-01-22,198,0,
2023-01-29,189,0,
2023-02-05,189,150,
2023-02-12,189,150,
2023-02-19,192,0,
2023-02-26,192,0,
2023-03-24,177,75,
2023-03-26,171,60,
2023-04-02,183,150,
2023-04-09,174,0,
2023-04-16,174,0,
2023-04-30,174,0,
2023-05-07,162,0,
2023-05-28,162,0,
2023-06-18,156,0,
2023-06-25,156,0,
