week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,105,166,0
2022-12-04,105,3,0
2022-12-11,118,0,0
2022-12-18,118,301,0
2022-12-25,131,303,0
2022-12-28,144,301,0
2023-01-01,144,4,0
2023-01-09,160,301,0
2023-01-10,160,301,0
2023-01-15,160,302,0
2023-01-16,172,302,0
2023-01-22,172,302,0
2023-01-29,179,4,1
2023-02-05,183,1,1
2023-02-12,183,0,0
2023-02-19,178,0,0
2023-02-26,183,1,1
2023-03-24,185,76,1
2023-03-26,182,61,1
2023-04-02,194,150,0
2023-04-09,192,1,1
2023-04-16,193,1,1
2023-04-30,193,0,0
2023-05-07,196,99,0
2023-05-28,196,0,0
2023-06-18,1330,0,
2023-06-25,1331,2,2
2023-07-16,1380,335,35
2023-07-23,1396,12,12
2023-07-30,1374,305,5
2023-09-10,154,0,0
2023-09-17,163,300,0
2023-09-24,166,99,0
2023-10-01,162,0,0
2023-10-02,168,0,0
2023-10-14,174,0,0
2023-10-15,174,0,0
