week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,96,300,
2022-12-04,96,0,
2022-12-11,108,0,
2022-12-18,108,0,
2022-12-25,105,0,
2022-12-28,99,0,
2023-01-01,99,0,
2023-01-09,96,0,
2023-01-10,96,0,
2023-01-15,96,0,
2023-01-16,93,0,
2023-01-22,93,0,
2023-01-29,90,0,
2023-02-05,90,150,
2023-02-12,93,150,
2023-02-19,99,0,
2023-02-26,99,0,
2023-03-24,84,0,
2023-03-26,84,0,
2023-04-02,81,0,
2023-04-09,78,0,
2023-04-16,78,0,
2023-04-30,78,0,
2023-05-07,72,0,
2023-05-28,72,0,
2023-06-18,69,0,
2023-06-25,69,0,
2023-07-16,69,0,
2023-07-23,69,0,
2023-07-30,69,0,
