week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,173,335,0
2022-12-04,173,0,0
2022-12-11,179,0,0
2022-12-18,179,0,0
2022-12-25,173,0,0
2022-12-28,170,0,0
2023-01-01,170,0,0
2023-01-09,167,0,0
2023-01-10,167,0,0
2023-01-15,167,0,0
2023-01-16,161,0,0
2023-01-22,161,0,0
2023-01-29,158,0,0
2023-02-05,158,0,0
2023-02-12,152,0,0
2023-02-19,144,0,0
2023-02-26,144,0,0
2023-03-24,163,225,0
2023-03-26,160,180,0
2023-04-02,157,0,0
2023-04-09,154,0,0
2023-04-16,155,0,0
2023-04-30,155,0,0
2023-05-07,161,201,0
2023-05-28,161,0,0
2023-06-18,1056,0,
2023-06-25,1056,0,
2023-07-16,1099,335,35
2023-07-23,1115,6,6
2023-07-30,1105,3,3
2023-09-01,149,0,0
2023-09-10,149,0,0
2023-09-17,146,0,0
2023-09-24,146,0,0
2023-10-01,146,0,0
2023-10-02,146,0,0
2023-10-11,146,0,0
2023-10-14,146,0,0
2023-10-15,146,0,0
2023-10-29,146,0,0
