week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,54,150,
2022-12-04,54,0,
2022-12-11,60,0,
2022-12-18,60,0,
2022-12-25,57,300,
2022-12-28,66,300,
2023-01-01,66,0,
2023-01-09,75,300,
2023-01-10,75,300,
2023-01-15,75,300,
2023-01-16,84,300,
2023-01-22,84,300,
2023-01-29,90,0,
2023-02-05,90,300,
2023-02-12,102,150,
2023-02-19,108,0,
2023-02-26,108,0,
2023-03-24,108,150,
2023-03-26,105,120,
2023-04-02,111,150,
2023-04-09,105,0,
2023-04-16,105,0,
2023-04-30,105,0,
2023-05-07,99,0,
2023-05-28,99,0,
2023-06-18,93,0,
2023-06-25,93,0,
2023-07-16,93,0,0
2023-07-23,93,0,
2023-07-30,93,0,
2023-09-10,90,0,
2023-09-17,87,0,
