week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-12-18,0,300,
2022-12-25,13,300,
2022-12-28,22,300,
2023-01-01,22,0,
2023-01-09,34,300,
2023-01-10,34,300,
2023-01-15,34,0,
2023-01-16,31,0,
2023-01-22,31,0,
2023-01-29,40,0,
2023-02-05,40,150,
2023-02-12,49,0,
2023-02-19,46,0,
2023-02-26,46,0,
2023-03-24,55,75,
2023-03-26,55,60,
2023-04-02,52,0,
2023-04-09,49,0,
2023-04-16,49,0,
2023-04-30,49,0,
2023-05-07,61,201,
2023-05-28,61,0,
2023-06-18,58,0,
2023-06-25,58,0,
2023-07-16,58,0,
2023-07-23,58,0,
2023-07-30,58,0,
2023-09-10,52,0,
2023-09-17,55,150,
2023-09-24,55,0,
