week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,37,150,
2022-12-04,37,0,
2022-12-11,48,0,
2022-12-18,48,0,
2022-12-25,48,300,
2022-12-28,57,0,
2023-01-01,57,0,
2023-01-09,66,300,
2023-01-10,66,300,
2023-01-15,66,0,
2023-01-16,66,0,
2023-01-22,66,0,
2023-01-29,75,0,
2023-02-05,75,150,
2023-02-12,81,0,
2023-02-19,78,0,
2023-02-26,78,0,
2023-03-24,69,0,
2023-03-26,69,0,
2023-04-02,84,150,
2023-04-09,87,99,
2023-04-16,87,0,
2023-04-30,87,0,
2023-05-07,84,0,
2023-05-28,84,0,
2023-06-18,93,0,0
2023-06-25,93,0,
2023-07-16,93,0,
2023-07-23,93,0,
2023-07-30,93,0,
2023-09-10,84,0,
2023-09-17,84,0,
