week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,285,300,
2022-12-04,285,0,
2022-12-11,288,0,
2022-12-18,288,300,
2022-12-25,288,300,
2022-12-28,288,300,
2023-01-01,288,0,
2023-01-09,288,300,
2023-01-10,288,300,
2023-01-15,288,0,
2023-01-16,279,0,
2023-01-22,279,0,
2023-01-29,279,0,
2023-02-05,279,300,
2023-02-12,282,150,
2023-02-19,282,0,
2023-02-26,282,0,
2023-03-24,285,300,
2023-03-26,279,240,
2023-04-02,285,150,
2023-04-09,285,201,
2023-04-16,285,0,
2023-04-30,285,0,
2023-05-07,273,99,
2023-05-28,288,0,
2023-06-18,288,0,0
2023-06-25,288,0,
2023-07-16,288,0,0
2023-07-23,288,0,
2023-07-30,288,0,
2023-09-01,267,0,
2023-09-10,267,0,
2023-09-17,258,0,
2023-09-24,267,300,
2023-10-01,267,0,
2023-10-02,267,0,
