week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,59,150,
2022-12-04,59,0,
2022-12-11,77,0,
2022-12-18,77,0,
2022-12-25,74,0,
2022-12-28,71,0,
2023-01-01,71,0,
2023-01-09,68,0,
2023-01-10,68,0,
2023-01-15,68,0,
2023-01-16,68,0,
2023-01-22,68,0,
2023-01-29,65,0,
2023-02-05,65,150,
2023-02-12,71,0,
2023-02-19,68,0,
2023-02-26,68,0,
2023-03-24,68,75,
2023-03-26,65,60,
2023-04-02,65,0,
2023-04-09,62,0,
2023-04-16,62,0,
2023-04-30,62,0,
2023-05-07,56,0,
2023-05-28,56,0,
2023-06-18,56,0,
2023-06-25,56,0,
2023-07-16,56,0,
2023-07-23,56,0,
2023-07-30,56,0,
2023-09-01,50,0,
2023-09-10,50,0,
2023-09-17,47,0,
2023-09-24,47,0,
2023-10-01,47,0,
2023-10-02,47,0,
2023-10-11,47,0,
2023-10-14,47,0,
2023-10-15,47,0,
