week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,81,300,
2022-12-04,81,0,
2022-12-11,96,0,
2022-12-18,96,0,
2022-12-25,93,300,
2022-12-28,99,300,
2023-01-01,99,0,
2023-01-09,108,300,
2023-01-10,108,300,
2023-01-15,108,0,
2023-01-16,102,0,
2023-01-22,102,0,
2023-01-29,99,0,
2023-02-05,99,0,
2023-02-12,93,0,
2023-02-19,90,0,
2023-02-26,90,0,
2023-03-24,108,225,
2023-03-26,105,180,
2023-04-02,111,150,
2023-04-09,111,99,
2023-04-16,111,0,
2023-04-30,111,0,
2023-05-07,105,0,
2023-05-28,105,0,
2023-06-18,99,0,
2023-06-25,99,0,
2023-07-16,99,0,
