week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,0,300,
2022-12-04,0,0,
2022-12-11,24,0,
2022-12-18,24,0,
2022-12-25,24,0,
2022-12-28,21,0,
2023-01-01,21,0,
2023-01-09,33,300,
2023-01-10,33,300,
2023-01-15,33,0,
2023-01-16,30,0,
2023-01-22,30,0,
2023-01-29,30,0,
2023-02-05,30,150,
2023-02-12,39,0,
2023-02-19,36,0,
2023-02-26,36,0,
2023-03-24,39,0,
2023-03-26,39,0,
2023-04-02,45,150,
2023-04-09,42,0,
2023-04-16,42,0,
2023-04-30,42,0,
2023-05-07,39,0,
2023-05-28,39,0,
2023-06-18,39,0,
2023-06-25,39,0,
2023-07-16,39,0,
2023-07-23,39,0,
2023-07-30,39,0,
