week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,135,150,
2022-12-04,135,0,
2022-12-11,132,0,
2022-12-18,132,300,
2022-12-25,138,0,
2022-12-28,132,0,
2023-01-01,132,0,
2023-01-09,129,0,
2023-01-10,129,0,
2023-01-15,129,0,
2023-01-16,123,0,
2023-01-22,123,0,
2023-01-29,120,0,
2023-02-05,120,0,
2023-02-12,114,0,
2023-02-19,108,0,
2023-02-26,108,0,
2023-03-24,99,0,
2023-03-26,99,0,
2023-04-02,96,0,
2023-04-09,90,0,
2023-04-16,90,0,
2023-04-30,90,0,
2023-05-07,84,0,
2023-05-28,84,0,
2023-06-18,81,0,
2023-06-25,81,0,
