week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,246,150,
2022-12-04,246,0,
2022-12-11,228,0,
2022-12-18,228,300,
2022-12-25,231,0,
2022-12-28,222,0,
2023-01-01,222,0,
2023-01-09,213,0,
2023-01-10,213,0,
2023-01-15,213,0,
2023-01-16,207,0,
2023-01-22,207,0,
2023-01-29,210,0,
2023-02-05,210,0,
2023-02-12,198,150,
2023-02-19,201,0,
2023-02-26,201,0,
2023-03-24,177,75,
2023-03-26,171,60,
2023-04-02,168,0,
2023-04-09,159,0,
2023-04-16,159,0,
2023-04-30,159,0,
2023-05-07,150,0,
2023-05-28,150,0,
2023-06-18,144,0,
2023-06-25,144,0,
2023-07-16,144,0,
2023-07-23,144,0,
2023-07-30,144,0,
