week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-12-04,83,0,0
2022-12-11,78,0,0
2022-12-18,78,1,1
2022-12-25,76,300,0
2022-12-28,88,0,0
2023-01-01,88,0,0
2023-01-09,86,1,1
2023-01-10,86,1,1
2023-01-15,86,0,0
2023-01-16,83,0,0
2023-01-22,83,0,0
2023-01-29,83,2,2
2023-02-05,86,1,1
2023-02-12,84,1,1
2023-02-19,82,1,1
2023-02-26,82,1,1
2023-03-24,94,2,2
2023-03-26,95,2,2
2023-04-02,92,0,0
2023-04-09,92,0,0
2023-04-16,92,0,0
2023-04-30,92,0,0
2023-05-07,89,0,0
2023-05-28,89,0,0
2023-06-18,1313,0,
2023-06-25,1313,0,
2023-07-16,1352,27,27
2023-07-23,1342,3,3
2023-07-30,1351,9,9
2023-09-01,42,0,0
2023-09-10,42,0,0
2023-09-17,42,0,0
2023-09-24,42,0,0
2023-10-01,42,0,0
2023-10-02,42,0,0
2023-10-11,42,0,0
