week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-12-25,0,300,
2022-12-28,12,300,
2023-01-01,12,0,
2023-01-09,21,300,
2023-01-10,21,300,
2023-01-15,21,300,
2023-01-16,30,300,
2023-01-22,30,300,
2023-01-29,30,0,
2023-02-05,30,0,
2023-02-12,27,150,
2023-02-19,36,0,
2023-02-26,36,0,
2023-03-24,69,300,
2023-03-26,69,240,
2023-04-02,72,150,
2023-04-09,84,201,
2023-04-16,84,0,
2023-04-30,84,0,
2023-05-07,78,0,
2023-05-28,99,0,
2023-06-18,93,0,
2023-06-25,93,0,
2023-07-16,93,0,
2023-07-23,93,0,
2023-07-30,93,0,
2023-09-10,90,0,
2023-09-17,87,0,
2023-09-24,84,0,
2023-10-01,84,0,
2023-10-02,84,0,
