week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,165,150,
2022-12-04,165,0,
2022-12-11,156,0,
2022-12-18,156,0,
2022-12-25,150,0,
2022-12-28,144,0,
2023-01-01,144,0,
2023-01-09,150,300,
2023-01-10,150,300,
2023-01-15,150,0,
2023-01-16,144,0,
2023-01-22,144,0,
2023-01-29,141,0,
2023-02-05,141,0,
2023-02-12,132,0,
2023-02-19,126,0,
2023-02-26,126,0,
2023-03-24,114,0,
2023-03-26,114,0,
2023-04-02,111,0,
2023-04-09,105,0,
2023-04-16,105,0,
2023-04-30,105,0,
2023-05-07,117,300,
2023-05-28,117,0,
2023-06-18,126,0,0
2023-06-25,126,0,
2023-07-16,126,0,0
