week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,204,0,
2022-12-04,204,0,
2022-12-11,192,0,
2022-12-18,192,0,
2022-12-25,186,300,
2022-12-28,189,300,
2023-01-01,189,0,
2023-01-09,183,0,
2023-01-10,183,0,
2023-01-15,183,0,
2023-01-16,177,0,
2023-01-22,177,0,
2023-01-29,171,0,
2023-02-05,171,150,
2023-02-12,168,0,
2023-02-19,165,0,
2023-02-26,165,0,
2023-03-24,138,0,
2023-03-26,135,0,
2023-04-02,132,0,
2023-04-09,126,0,
2023-04-16,126,0,
2023-04-30,126,0,
2023-05-07,117,0,
2023-05-28,117,0,
2023-06-18,114,0,
2023-06-25,114,0,
2023-07-16,114,0,0
