week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-12-25,314,300,
2022-12-28,323,300,
2023-01-01,323,0,
2023-01-09,351,0,
2023-01-10,351,0,
2023-01-15,351,0,
2023-01-16,348,0,
2023-01-22,348,0,
2023-01-29,345,0,
2023-02-05,354,0,
2023-02-12,351,0,
2023-02-19,350,0,
2023-02-26,350,0,
2023-03-24,359,0,
2023-03-26,359,0,
2023-04-02,356,0,
2023-04-09,353,0,
2023-04-16,353,0,
2023-04-30,353,0,
2023-05-07,350,0,
2023-05-28,371,0,
2023-06-18,368,0,
2023-06-25,368,0,
2023-07-16,368,0,
2023-07-23,368,0,
2023-07-30,368,0,
2023-09-01,362,0,
2023-09-10,362,0,
2023-09-17,359,0,
2023-09-24,359,0,
2023-10-01,359,0,
2023-10-02,359,0,
