week_end,karma_score,karma_score_7d,forum_activity_score_7d
2023-01-29,56,0,
2023-02-05,56,0,
2023-02-12,53,0,
2023-02-19,50,0,
2023-02-26,50,0,
2023-03-24,44,0,
2023-03-26,44,0,
2023-04-02,41,0,
2023-04-09,41,0,
2023-04-16,41,0,
2023-04-30,41,0,
2023-05-07,38,0,
2023-05-28,38,0,
2023-06-18,35,0,
2023-06-25,35,0,
2023-07-16,35,0,
2023-07-23,35,0,
2023-07-30,35,0,
2023-09-01,32,0,
2023-09-10,32,0,
2023-09-17,32,0,
2023-09-24,32,0,
2023-10-01,32,0,
2023-10-02,32,0,
2023-10-11,32,0,
2023-10-14,32,0,
2023-10-15,32,0,
2023-10-29,32,0,
