week_end,tasks_completed
2022-05-29,1
2022-06-05,11
2022-06-12,12
2022-06-19,12
2022-06-26,12
2022-07-03,12
2022-07-10,12
2022-07-17,12
2022-07-24,12
2022-07-31,12
2022-08-07,12
2022-08-14,12
2022-08-21,12
2022-08-28,12
2022-09-04,12
2022-09-11,12
2022-09-18,12
2022-09-25,12
2022-10-02,12
2022-10-09,12
2022-10-16,13
2022-10-23,13
2022-10-30,13
2022-11-06,13
