week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,0.6871819054192606,,,0.6871819054192606
2022-06-12,0.06995749203973611,,,0.06995749203973611
2022-06-19,0.012392040403987165,,,0.012392040403987165
2022-06-26,0.05396274780608975,,,0.05396274780608975
2022-07-03,0.006149183115143662,,,0.006149183115143662
2022-07-10,0.007529023049892137,,,0.007529023049892137
2022-07-17,0.06914096485251295,,,0.06914096485251295
2022-07-24,0.007479322566531506,,,0.007479322566531506
2022-07-31,0.005652175245956275,,,0.005652175245956275
2022-08-07,0.04904234579686088,,,0.04904234579686088
2022-08-14,0.4847706470569171,,,0.4847706470569171
2022-08-21,1.0638944717034802,,,1.0638944717034802
2022-08-28,0.16478318221001567,,,0.16478318221001567
2022-09-04,0.15416872158959904,,,0.15416872158959904
2022-09-11,0.36088237424195724,,,0.36088237424195724
2022-09-18,0.04807235841872795,,,0.04807235841872795
2022-09-25,0.11984066830768,,,0.11984066830768
2022-10-02,0.012835034008705202,,,0.012835034008705202
2022-10-09,0.008509524728361868,,,0.008509524728361868
2022-10-16,0.07226012061658359,,,0.07226012061658359
2022-10-23,0.00729976249996883,,,0.00729976249996883
2022-10-30,0,,,0
2022-11-06,0,,,0
2022-11-13,0,,,0
2022-11-20,0,,,0
2022-11-27,0,,,0
2022-12-04,0,,,0
2022-12-11,0,,,0
