week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,0.010803912083042865,,,0.010803912083042865
2022-06-12,0.005742826470672818,,,0.005742826470672818
2022-06-19,0.07369076835939666,,,0.07369076835939666
2022-06-26,0.2773094193260732,,,0.2773094193260732
2022-07-03,2.699398875253173,,,2.699398875253173
2022-07-10,0.2736377767606121,,,0.2736377767606121
2022-07-17,0.0369743779406204,,,0.0369743779406204
2022-07-24,0.09610530664632638,,,0.09610530664632638
2022-07-31,0.006145575634305089,,,0.006145575634305089
2022-08-07,0,,,0
2022-08-14,0,,,0
2022-08-21,0,,,0
2022-08-28,0,,,0
2022-09-04,0,,,0
2022-09-11,0,,,0
2022-09-18,0.013911846210422915,,,0.013911846210422915
2022-09-25,0.13771290577754053,,,0.13771290577754053
2022-10-02,0.04196084391764403,,,0.04196084391764403
2022-10-09,0.004238911635526956,,,0.004238911635526956
2022-10-16,0,,,0
2022-10-23,0,,,0
2022-10-30,0,,,0
2022-11-06,0,,,0
2022-11-13,0,,,0
2022-11-20,0,,,0
2022-11-27,0,,,0
2022-12-04,0,,,0
2022-12-11,0,,,0
