week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,0.11373744510106301,,,0.11373744510106301
2022-06-12,0.013939759444820668,,,0.013939759444820668
2022-06-19,0.02565996025925028,,,0.02565996025925028
2022-06-26,0.06367858384994483,,,0.06367858384994483
2022-07-03,0.22079341127178848,,,0.22079341127178848
2022-07-10,0.01899649852555634,,,0.01899649852555634
2022-07-17,0.007136718186225198,,,0.007136718186225198
2022-07-24,0.06737861434610899,,,0.06737861434610899
2022-07-31,0.07002874532924448,,,0.07002874532924448
2022-08-07,0.007128066435702714,,,0.007128066435702714
2022-08-14,0,,,0
2022-08-21,0.005390347323514392,,,0.005390347323514392
2022-08-28,0.05265157491414716,,,0.05265157491414716
2022-09-04,0.1091672778546731,,,0.1091672778546731
2022-09-11,0.01102814620058885,,,0.01102814620058885
2022-09-18,0,,,0
2022-09-25,0,,,0
2022-10-02,0,,,0
2022-10-09,0,,,0
2022-10-16,0,,,0
2022-10-23,0,,,0
2022-10-30,0,,,0
2022-11-06,0,,,0
2022-11-13,0,,,0
2022-11-20,0,,,0
2022-11-27,0,,,0
2022-12-04,0,,,0
2022-12-11,0,,,0
