week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,0,,,0
2022-06-12,0,,,0
2022-06-19,0,,,0
2022-06-26,0.008047685288173397,,,0.008047685288173397
2022-07-03,0.07966352398611495,,,0.07966352398611495
2022-07-10,0.008047661900054402,,,0.008047661900054402
2022-07-17,0,,,0
2022-07-24,0,,,0
2022-07-31,0,,,0
2022-08-07,0,,,0
2022-08-14,0,,,0
2022-08-21,0,,,0
2022-08-28,0.013461079316435382,,,0.013461079316435382
2022-09-04,0.13325079529614053,,,0.13325079529614053
2022-09-11,0.013833971882231084,,,0.013833971882231084
2022-09-18,0.005088777120352152,,,0.005088777120352152
2022-09-25,0.0370537486074131,,,0.0370537486074131
2022-10-02,0,,,0
2022-10-09,0,,,0
2022-10-16,0,,,0
2022-10-23,0,,,0
2022-10-30,0,,,0
2022-11-06,0,,,0
2022-11-13,0,,,0
2022-11-20,0,,,0
2022-11-27,0,,,0
2022-12-04,0,,,0
2022-12-11,0,,,0
