week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,0.0516321656652642,,,0.0516321656652642
2022-06-12,0.005215913878910817,,,0.005215913878910817
2022-06-19,0,,,0
2022-06-26,0,,,0
2022-07-03,0,,,0
2022-07-10,0,,,0
2022-07-17,0,,,0
2022-07-24,0,,,0
2022-07-31,0.004250130297721977,,,0.004250130297721977
2022-08-07,0.04207190332857684,,,0.04207190332857684
2022-08-14,0.004250129743417581,,,0.004250129743417581
2022-08-21,0,,,0
2022-08-28,0,,,0
2022-09-04,0,,,0
2022-09-11,0,,,0
2022-09-18,0,,,0
2022-09-25,0,,,0
2022-10-02,0,,,0
2022-10-09,0,,,0
2022-10-16,0,,,0
2022-10-23,0,,,0
2022-10-30,0,,,0
2022-11-06,0,,,0
2022-11-13,0,,,0
2022-11-20,0,,,0
2022-11-27,0,,,0
2022-12-04,0,,,0
2022-12-11,0,,,0
