week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,6.665214256228238,6.665214256228238,0,0
2022-06-05,1.220128683990474,1.220128683990474,0,0
2022-06-12,0.2370515877801733,0.2370515877801733,0,0
2022-06-19,0.2230110118916684,0.2230110118916684,0,0
2022-06-26,1.9930547626414965,1.9930547626414965,0,0
2022-07-03,19.707507340683055,19.707507340683055,0,0
2022-07-10,2.195863053960238,2.195863053960238,0,0
2022-07-17,0.6860230669902354,0.6860230669902354,0,0
2022-07-24,0.2061705928173926,0.2061705928173926,0,0
2022-07-31,0.1611089165942417,0.1611089165942417,0,0
2022-08-07,0.424093335590431,0.424093335590431,0,0
2022-08-14,4.079818463082684,4.079818463082684,0,0
2022-08-21,0.44205635516745423,0.44205635516745423,0,0
2022-08-28,0.34073892492941615,0.34073892492941615,0,0
2022-09-04,0.790117408143545,0.790117408143545,0,0
2022-09-11,0.07982394016780921,0.07982394016780921,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0.05614159863518862,0.05614159863518862,0,0
2022-10-16,0,0,0,0
2022-10-23,0.017877100230936457,0.017877100230936457,0,0
2022-10-30,0.1713689384024835,0.1713689384024835,0,0
2022-11-06,0.027755623424579986,0.027755623424579986,0,0
2022-11-13,0.10618697236353863,0.10618697236353863,0,0
2022-11-20,0.010727077711814774,0.010727077711814774,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
