week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.4880059721218395,0.4880059721218395,0,0
2022-06-05,0.0493565101663819,0.0493565101663819,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0.056727343505721665,0.056727343505721665,0,0
2022-07-03,0.5610442165382173,0.5610442165382173,0,0
2022-07-10,0.07615285317591211,0.0566770391197869,0.019475814056125206,0
2022-07-17,0.1927902718235636,0,0.1927902718235636,0
2022-07-24,1.908423576835033,0,1.908423576835033,0
2022-07-31,0.1927902718235636,0,0.1927902718235636,0
2022-08-07,0.019475814056125206,0,0.019475814056125206,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0.019805891107129093,0.019805891107129093,0,0
2022-09-25,0.1960578737713955,0.1960578737713955,0,0
2022-10-02,0.025472361974643865,0.025472361974643865,0,0
2022-10-09,0.0586654509806444,0.0586654509806444,0,0
2022-10-16,0.5611815333857445,0.5611815333857445,0,0
2022-10-23,0.08288908931091599,0.08288908931091599,0,0
2022-10-30,0.2677085053851122,0.2677085053851122,0,0
2022-11-06,0.1578714486628543,0.1578714486628543,0,0
2022-11-13,0.6273854703927615,0.6273854703927615,0,0
2022-11-20,0.06337887061939787,0.06337887061939787,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
