week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,14.842038824586925,9.535264227142616,5.306774597444311,0
2022-06-05,13.206602891634198,9.603445107841088,3.603157783793109,0
2022-06-12,1.4193356006463818,1.0536063682071999,0.3657292324391819,0
2022-06-19,0.2858395571232299,0.23171231161687197,0.054127245506357925,0
2022-06-26,0.29044308065489566,0.11490103984840556,0.1755420408064901,0
2022-07-03,2.150085022550498,0.4487947658701488,1.7012902566803492,0
2022-07-10,0.7354724853422675,0.5636069811047179,0.17186550423754965,0
2022-07-17,0.5145414114446857,0.4971794349430656,0.017361976501620125,0
2022-07-24,1.058027968722938,1.058027968722938,0,0
2022-07-31,0.12321208667564368,0.12321208667564368,0,0
2022-08-07,0.17409155331469026,0.17409155331469026,0,0
2022-08-14,0.5739028740260136,0.5739028740260136,0,0
2022-08-21,0.18362404408078975,0.18362404408078975,0,0
2022-08-28,0.21717835382468867,0.21717835382468867,0,0
2022-09-04,0.4074836463147315,0.4074836463147315,0,0
2022-09-11,0.20793800470028426,0.20793800470028426,0,0
2022-09-18,0.021006030084802105,0.021006030084802105,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0.023058800144181203,0.023058800144181203,0,0
2022-11-13,0.22825832068948249,0.22825832068948249,0,0
2022-11-20,0.02305903803446961,0.02305903803446961,0,0
2022-11-27,0,0,0,0
