week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
2022-12-25,0,0,0,0
2023-01-01,0,0,0,0
2023-01-08,0,0,0,0
2023-01-15,0,0,0,0
2023-01-22,0,0,0,0
2023-01-29,0,0,0,0
2023-02-05,0.01,0.01,0,0
2023-02-12,0.13,0.13,0,0
2023-02-19,1.31,1.31,0,0
2023-02-26,0.16,0.16,0,0
2023-03-05,0.28,0.28,0,0
2023-03-12,0.4,0.4,0,0
2023-03-19,0.47,0.47,0,0
2023-03-26,0.1,0.1,0,0
2023-04-02,0.55,0.55,0,0
2023-04-09,0.24,0.24,0,0
2023-04-16,0.03,0.03,0,0
2023-04-23,0.05,0.05,0,0
2023-04-30,0.49,0.49,0,0
2023-05-07,3.81,3.81,0,0
2023-05-14,0.53,0.53,0,0
2023-05-21,1.51,1.51,0,0
2023-05-28,14.58,14.58,0,0
2023-06-04,1.49,1.49,0,0
2023-06-11,0.36,0.36,0,0
2023-06-18,2.06,2.06,0,0
2023-06-25,0.5,0.5,0,0
2023-07-02,1,1,0,0
2023-07-09,3.19,3.19,0,0
2023-07-16,21.02,21.02,0,0
2023-07-23,2.83,2.83,0,0
2023-07-30,1.56,1.56,0,0
2023-08-06,12.73,12.73,0,0
2023-08-13,2.23,2.23,0,0
2023-08-20,7.41,7.41,0,0
2023-08-27,1.09,1.09,0,0
2023-09-03,0.36,0.36,0,0
2023-09-10,1.56,1.56,0,0
2023-09-17,14.06,14.06,0,0
2023-09-24,13.95,13.95,0,0
2023-10-01,15.51,15.51,0,0
2023-10-08,23.18,23.18,0,0
2023-10-15,5.52,5.52,0,0
2023-10-22,9.18,9.18,0,0
2023-10-29,1.8,1.8,0,0
2023-11-05,3.83,3.83,0,0
2023-11-12,0.67,0.67,0,0
2023-11-19,0.2,0.2,0,0
2023-11-26,1.32,1.32,0,0
2023-12-03,7.13,7.13,0,0
2023-12-10,1.12,1.12,0,0
2023-12-17,4.06,4.06,0,0
2023-12-24,2.57,2.57,0,0
2023-12-31,5.07,5.07,0,0
2024-01-07,6.29,6.29,0,0
