week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.38918483243537194,0.38918483243537194,0,0
2022-06-05,1.7175069669909762,1.7175069669909762,0,0
2022-06-12,0.17484753177018458,0.17484753177018458,0,0
2022-06-19,0.030965977071337736,0.030965977071337736,0,0
2022-06-26,0.13481183941253133,0.13481183941253133,0,0
2022-07-03,0.015358134677212441,0.015358134677212441,0,0
2022-07-10,0.018769364523499397,0.018769364523499397,0,0
2022-07-17,0.1723353164515583,0.1723353164515583,0,0
2022-07-24,0.0189750350891917,0.0189750350891917,0,0
2022-07-31,0.017414825675431105,0.017414825675431105,0,0
2022-08-07,0.1551729637650158,0.1551729637650158,0,0
2022-08-14,1.5343127484818124,1.5343127484818124,0,0
2022-08-21,4.99336394223274,4.99336394223274,0,0
2022-08-28,0.6515844566549038,0.6515844566549038,0,0
2022-09-04,0.4097665632583125,0.4097665632583125,0,0
2022-09-11,0.9044906706791382,0.9044906706791382,0,0
2022-09-18,0.12027588088647895,0.12027588088647895,0,0
2022-09-25,0.2982668579073872,0.2982668579073872,0,0
2022-10-02,0.03195146002680688,0.03195146002680688,0,0
2022-10-09,0.021247397461243538,0.021247397461243538,0,0
2022-10-16,0.18052229701408587,0.18052229701408587,0,0
2022-10-23,0.018236474004376585,0.018236474004376585,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
