week_end,block,voting_escrow
2022-06-05,14905988,0.00
2022-06-12,14947132,0.00
2022-06-19,14987809,0.00
2022-06-26,15026233,0.00
2022-07-03,15066169,0.00
2022-07-10,15111487,0.00
2022-07-17,15156813,0.00
2022-07-24,15202012,2.01
2022-07-31,15246903,2.03
2022-08-07,15291833,2.02
2022-08-14,15336463,2.04
2022-08-21,15380672,2.03
2022-08-28,15424591,2.02
2022-09-04,15468373,2.04
2022-09-11,15511691,2.03
2022-09-18,15556726,2.02
2022-09-25,15606660,2.01
2022-10-02,15656732,2.00
2022-10-09,15706816,2.19
2022-10-16,15756957,2.18
2022-10-23,15807086,2.17
2022-10-30,15857151,2.16
2022-11-06,15907253,2.15
2022-11-13,15957380,2.19
2022-11-20,16007503,2.18
2022-11-27,16057597,2.17
2022-12-04,16107727,2.16
2022-12-11,16157748,2.15
2022-12-18,16207857,2.14
2022-12-25,16258038,2.13
2023-01-01,16308190,2.12
2023-01-08,16358347,2.11
2023-01-15,16408488,2.09
2023-01-22,16458621,2.08
2023-01-29,16508758,2.19
2023-02-05,16558857,2.18
2023-02-12,16608958,2.17
2023-02-19,16658939,2.16
2023-02-26,16708711,2.15
2023-03-05,16758496,2.14
2023-03-12,16808258,2.13
2023-03-19,16858067,2.12
2023-03-26,16907900,2.11
2023-04-02,16957717,2.09
2023-04-09,17007072,2.08
2023-04-16,17055792,2.07
2023-04-23,17105310,2.06
2023-04-30,17155164,2.05
2023-05-07,17204968,2.04
2023-05-14,17254453,2.03
2023-05-21,17304051,2.02
2023-05-28,17353818,2.19
2023-06-04,17403556,2.18
2023-06-11,17453186,2.17
2023-06-18,17502962,2.16
2023-06-25,17552799,2.15
2023-07-02,17602620,2.14
2023-07-09,17652460,2.13
2023-07-16,17702170,2.12
2023-07-23,17752102,2.11
2023-07-30,17802131,2.09
2023-08-06,17852208,2.08
2023-08-13,17902217,2.07
2023-08-20,17952252,2.19
2023-08-27,18002285,2.18
2023-09-03,18052254,2.17
2023-09-10,18102263,2.16
2023-09-17,18152100,2.15
2023-09-24,18201951,2.14
2023-10-01,18251965,2.13
2023-10-08,18302049,2.12
2023-10-15,18352059,2.11
2023-10-22,18402122,2.09
2023-10-29,18452128,2.08
2023-11-05,18502099,2.07
2023-11-12,18552123,2.06
2023-11-19,18602145,2.05
2023-11-26,18652140,2.04
2023-12-03,18702159,2.03
2023-12-10,18752098,2.02
2023-12-17,18802046,2.01
2023-12-24,18851936,2.00
2023-12-31,18901758,3.13
2024-01-07,18951539,3.12
2024-01-14,19001407,3.10
2024-01-21,19051515,3.09
2024-01-28,19101334,3.07
2024-02-04,19151256,3.06
2024-02-11,19201123,3.04
2024-02-18,19250998,3.03
2024-02-25,19300884,3.01
2024-03-03,19350920,3.00
2024-03-10,19400982,2.98
2024-03-17,19450870,2.97
2024-03-24,19500711,2.95
2024-03-31,19550183,2.94
2024-04-07,19600114,2.92
2024-04-14,19650067,2.91
2024-04-21,19700063,2.89
2024-04-28,19750103,2.88
2024-05-05,19800180,2.86
2024-05-12,19850230,2.85
2024-05-19,19900268,2.83
2024-05-26,19950330,2.82
2024-06-02,20000416,2.80
