week_end,block,voting_power
2022-06-05,14905988,2.016565551087935237
2022-06-12,14947132,2.006536158448954123
2022-06-19,14987809,1.996538558101004767
2022-06-26,15026233,1.986546019376913745
2022-07-03,15066169,1.976541091253247912
2022-07-10,15111487,1.966537238311120614
2022-07-17,15156813,1.956526619995927765
2022-07-24,15202012,1.946491189799076416
2022-07-31,15246903,1.93651558931953093
2022-08-07,15291833,1.926515491242161285
2022-08-14,15336463,1.916504773679441802
2022-08-21,15380672,1.906503401925480354
2022-08-28,15424591,1.896505751953767681
2022-09-04,15468373,1.886497002800326439
2022-09-11,15511691,1.876480363468517794
2022-09-18,15556726,1.866492274341870863
2022-09-25,15606660,1.856484815406275863
2022-10-02,15656732,1.846484039137474219
2022-10-09,15706816,1.836476216294281561
2022-10-16,15756957,1.826472049068319922
2022-10-23,15807086,1.816467749512322771
2022-10-30,15857151,1.80646411160650318
2022-11-06,15907253,1.796459828591760468
2022-11-13,15957380,1.78645531399945561
2022-11-20,16007503,1.776451626469872702
2022-11-27,16057597,1.766448286306633013
2022-12-04,16107727,1.756442746156552937
2022-12-11,16157748,1.746438793966899005
