week_end,block,voting_power
2022-06-05,14905988,2.120550509071578862
2022-06-12,14947132,2.110308800788150898
2022-06-19,14987809,2.100099557817641642
2022-06-26,15026233,2.08989548362223807
2022-07-03,15066169,2.079678757751820912
2022-07-10,15111487,2.069463129823828164
2022-07-17,15156813,2.05924059330427259
2022-07-24,15202012,2.048992719651846016
2022-07-31,15246903,2.03880594227248238
2022-08-07,15291833,2.02859414869726411
2022-08-14,15336463,2.018371510829177052
2022-08-21,15380672,2.008158416614471404
2022-08-28,15424591,1.997949122969696406
2022-09-04,15468373,1.987728495180817114
2022-09-11,15511691,1.977499810183684844
2022-09-18,15556726,1.967300279780776138
2022-09-25,15606660,1.957080969522806138
2022-10-02,15656732,1.946868483399289394
2022-10-09,15706816,1.936648801530037286
2022-10-16,15756957,1.926432852665028172
2022-10-23,15807086,1.916216768668643746
2022-10-30,15857151,1.90600136032913588
2022-11-06,15907253,1.895785293224173368
2022-11-13,15957380,1.88556898963930406
2022-11-20,16007503,1.875353530625530452
2022-11-27,16057597,1.865138426331617038
2022-12-04,16107727,1.854921075478589062
2022-12-11,16157748,1.84470534620206483
