week_end,block,voting_power
2022-06-05,14905988,2.000659825844742357
2022-06-12,14947132,1.990997158427475003
2022-06-19,14987809,1.981365120814596687
2022-06-26,15026233,1.971737959747058145
2022-07-03,15066169,1.962098862298933032
2022-07-10,15111487,1.952460800718282054
2022-07-17,15156813,1.942816221140755365
2022-07-24,15202012,1.933147736929210176
2022-07-31,15246903,1.92353689475849493
2022-08-07,15291833,1.913902450745792085
2022-08-14,15336463,1.904257775549729322
2022-08-21,15380672,1.894622104432480194
2022-08-28,15424591,1.884990019010333841
2022-09-04,15468373,1.875347240248569879
2022-09-11,15511691,1.865696859813188034
2022-09-18,15556726,1.856073985643350143
2022-09-25,15606660,1.846432449922555143
2022-10-02,15656732,1.836797352516522459
2022-10-09,15706816,1.827155466194428521
2022-10-16,15756957,1.817517101821746642
2022-10-23,15807086,1.807878609957683331
2022-10-30,15857151,1.79824075555052718
2022-11-06,15907253,1.788602279622886548
2022-11-13,15957380,1.77896358058532841
2022-11-20,16007503,1.769325678368904222
2022-11-27,16057597,1.759688110817356293
2022-12-04,16107727,1.750048423721592057
2022-12-11,16157748,1.740410282458827684
