week_end,block,voting_power
2022-06-05,14905988,2.23
2022-06-12,14947132,2.22
2022-06-19,14987809,2.29
2022-06-26,15026233,2.28
2022-07-03,15066169,2.27
2022-07-10,15111487,2.26
2022-07-17,15156813,2.25
2022-07-24,15202012,2.23
2022-07-31,15246903,2.22
2022-08-07,15291833,2.21
2022-08-14,15336463,2.20
2022-08-21,15380672,2.19
2022-08-28,15424591,2.18
2022-09-04,15468373,2.17
2022-09-11,15511691,2.15
2022-09-18,15556726,2.14
2022-09-25,15606660,2.13
2022-10-02,15656732,2.12
2022-10-09,15706816,2.11
2022-10-16,15756957,2.10
2022-10-23,15807086,2.09
2022-10-30,15857151,2.07
2022-11-06,15907253,2.06
2022-11-13,15957380,2.05
2022-11-20,16007503,2.32
2022-11-27,16057597,2.31
2022-12-04,16107727,2.30
2022-12-11,16157748,2.28
2022-12-18,16207857,2.27
2022-12-25,16258038,2.26
2023-01-01,16308190,2.25
2023-01-08,16358347,2.23
2023-01-15,16408488,2.22
2023-01-22,16458621,2.21
2023-01-29,16508758,2.19
2023-02-05,16558857,2.18
2023-02-12,16608958,2.17
2023-02-19,16658939,2.15
2023-02-26,16708711,2.14
2023-03-05,16758496,2.13
2023-03-12,16808258,2.11
2023-03-19,16858067,2.10
2023-03-26,16907900,2.09
2023-04-02,16957717,2.08
2023-04-09,17007072,2.06
2023-04-16,17055792,2.05
2023-04-23,17105310,2.04
2023-04-30,17155164,2.02
2023-05-07,17204968,2.01
2023-05-14,17254453,2.00
2023-05-21,17304051,1.98
2023-05-28,17353818,1.97
2023-06-04,17403556,1.96
2023-06-11,17453186,1.94
2023-06-18,17502962,1.93
2023-06-25,17552799,1.92
2023-07-02,17602620,1.91
2023-07-09,17652460,1.89
2023-07-16,17702170,1.88
2023-07-23,17752102,1.87
2023-07-30,17802131,1.85
2023-08-06,17852208,1.84
2023-08-13,17902217,1.83
2023-08-20,17952252,1.81
2023-08-27,18002285,1.80
2023-09-03,18052254,1.79
2023-09-10,18102263,1.77
2023-09-17,18152100,1.76
2023-09-24,18201951,1.75
2023-10-01,18251965,1.74
2023-10-08,18302049,1.72
2023-10-15,18352059,1.71
2023-10-22,18402122,1.70
2023-10-29,18452128,1.68
