week_end,block,voting_power
2022-06-05,14905988,2.067588399121675833
2022-06-12,14947132,2.057305244250064407
2022-06-19,14987809,2.047054686073404603
2022-06-26,15026233,2.036809317589073205
2022-07-03,15066169,2.026551246230382408
2022-07-10,15111487,2.18441434254121827
2022-07-17,15156813,2.173294625202840825
2022-07-24,15202012,2.16214734701837088
2022-07-31,15246903,2.15106652722077865
2022-08-07,15291833,2.139958495681144425
2022-08-14,15336463,2.12883866809938261
2022-08-21,15380672,2.11772922176964897
2022-08-28,15424591,2.106623909566829205
2022-09-04,15468373,2.095506268478857395
2022-09-11,15511691,2.30663052593174817
2022-09-18,15556726,2.295535833841622715
2022-09-25,15606660,2.284419625917647715
2022-10-02,15656732,2.273310841048220295
2022-10-09,15706816,2.262194228898502605
2022-10-16,15756957,2.25108167738010921
2022-10-23,15807086,2.239968978870536655
2022-10-30,15857151,2.2288570153168599
2022-11-06,15907253,2.21774433518118474
2022-11-13,15957380,2.20663139781094605
2022-11-20,16007503,2.19551937913557711
2022-11-27,16057597,2.184407746312053465
2022-12-04,16107727,2.173293669760176285
2022-12-11,16157748,2.16218137547634642
