week_end,block,voting_power
2022-06-05,14905988,2.428099691517783087
2022-06-12,14947132,2.416083146934332673
2022-06-19,14987809,2.404104693738501117
2022-06-26,15026233,2.392132305040386195
2022-07-03,15066169,2.380145072195899512
2022-07-10,15111487,2.368159127561712114
2022-07-17,15156813,2.356165077111949215
2022-07-24,15202012,2.344141298732202816
2022-07-31,15246903,2.33218920430095663
2022-08-07,15291833,2.320207758493506735
2022-08-14,15336463,2.308213589132023902
2022-08-21,15380672,2.296230617290834854
2022-08-28,15424591,2.284252104639143331
2022-09-04,15468373,2.272260293693439189
2022-09-11,15511691,2.260259029266000294
2022-09-18,15556726,2.248291971776662413
2022-09-25,15606660,2.236301706683317413
2022-10-02,15656732,2.224319448312447969
2022-10-09,15706816,2.212328747209463211
2022-10-16,15756957,2.200342426021496022
2022-10-23,15807086,2.188355946284568921
2022-10-30,15857151,2.48801409489546858
2022-11-06,15907253,2.476027634977161468
2022-11-13,15957380,2.46404089759817451
2022-11-20,16007503,2.452055151150187002
2022-11-27,16057597,2.440069820893219263
2022-12-04,16107727,2.428081854759792987
