week_end,block,voting_escrow
2022-06-05,14905988,0.11
2022-06-12,14947132,0.11
2022-06-19,14987809,0.10
2022-06-26,15026233,0.10
2022-07-03,15066169,0.10
2022-07-10,15111487,0.10
2022-07-17,15156813,0.10
2022-07-24,15202012,0.10
2022-07-31,15246903,0.10
2022-08-07,15291833,0.10
2022-08-14,15336463,0.10
2022-08-21,15380672,0.10
2022-08-28,15424591,0.10
2022-09-04,15468373,0.10
2022-09-11,15511691,0.10
2022-09-18,15556726,0.10
2022-09-25,15606660,0.10
2022-10-02,15656732,0.10
2022-10-09,15706816,0.10
2022-10-16,15756957,0.10
2022-10-23,15807086,0.53
2022-10-30,15857151,0.53
2022-11-06,15907253,0.52
2022-11-13,15957380,2.18
2022-11-20,16007503,2.17
2022-11-27,16057597,2.16
2022-12-04,16107727,2.14
2022-12-11,16157748,2.13
2022-12-18,16207857,2.12
2022-12-25,16258038,2.11
2023-01-01,16308190,2.10
2023-01-08,16358347,2.08
2023-01-15,16408488,2.07
2023-01-22,16458621,2.06
2023-01-29,16508758,2.05
2023-02-05,16558857,2.03
2023-02-12,16608958,2.02
2023-02-19,16658939,2.01
2023-02-26,16708711,2.00
2023-03-05,16758496,1.99
2023-03-12,16808258,1.97
2023-03-19,16858067,1.96
2023-03-26,16907900,1.95
2023-04-02,16957717,1.94
2023-04-09,17007072,2.55
2023-04-16,17055792,2.54
2023-04-23,17105310,2.53
2023-04-30,17155164,2.51
2023-05-07,17204968,2.50
2023-05-14,17254453,2.49
2023-05-21,17304051,2.48
2023-05-28,17353818,2.46
2023-06-04,17403556,2.45
2023-06-11,17453186,2.44
2023-06-18,17502962,2.43
2023-06-25,17552799,2.42
2023-07-02,17602620,2.40
2023-07-09,17652460,2.39
2023-07-16,17702170,2.38
2023-07-23,17752102,2.37
2023-07-30,17802131,2.35
2023-08-06,17852208,2.34
2023-08-13,17902217,2.33
2023-08-20,17952252,2.32
2023-08-27,18002285,2.30
2023-09-03,18052254,2.29
2023-09-10,18102263,2.28
2023-09-17,18152100,2.27
2023-09-24,18201951,2.26
2023-10-01,18251965,2.24
2023-10-08,18302049,2.23
2023-10-15,18352059,2.22
2023-10-22,18402122,2.21
2023-10-29,18452128,2.19
2023-11-05,18502099,2.18
2023-11-12,18552123,2.17
2023-11-19,18602145,2.16
2023-11-26,18652140,2.14
2023-12-03,18702159,2.13
2023-12-10,18752098,2.12
2023-12-17,18802046,2.11
2023-12-24,18851936,2.10
2023-12-31,18901758,2.08
2024-01-07,18951539,2.07
2024-01-14,19001407,2.06
2024-01-21,19051515,2.05
2024-01-28,19101334,2.03
2024-02-04,19151256,2.02
2024-02-11,19201123,2.01
2024-02-18,19250998,2.00
2024-02-25,19300884,1.99
2024-03-03,19350920,1.97
2024-03-10,19400982,1.96
2024-03-17,19450870,1.95
2024-03-24,19500711,1.94
2024-03-31,19550183,1.92
2024-04-07,19600114,1.91
2024-04-14,19650067,1.90
2024-04-21,19700063,1.89
2024-04-28,19750103,1.87
2024-05-05,19800180,1.86
2024-05-12,19850230,1.85
2024-05-19,19900268,1.84
2024-05-26,19950330,1.83
2024-06-02,20000416,1.81
2024-06-09,20050553,1.80
2024-06-16,20100627,1.79
2024-06-23,20150677,1.78
2024-06-30,20200783,2.55
2024-07-07,20250914,2.54
2024-07-14,20301021,2.53
2024-07-21,20351186,2.51
2024-07-28,20401322,2.50
2024-08-04,20451460,2.49
2024-08-11,20501655,2.48
2024-08-18,20551784,2.46
2024-08-25,20601892,2.45
2024-09-01,20651994,2.44
2024-09-08,20702171,2.43
2024-09-15,20752288,2.42
2024-09-22,20802390,2.40
2024-09-29,20852573,2.39
2024-10-06,20902785,2.38
2024-10-13,20952958,2.37
2024-10-20,21003064,2.35
2024-10-27,21053237,2.34
2024-11-03,21103393,2.33
2024-11-10,21153542,2.32
2024-11-17,21203704,2.30
2024-11-24,21253880,2.29
2024-12-01,21303934,2.28
2024-12-08,21354048,2.27
2024-12-15,21404197,2.26
2024-12-22,21454315,2.24
2024-12-29,21504402,2.23
2025-01-05,21554557,2.22
2025-01-12,21604681,2.21
2025-01-19,21654815,2.19
2025-01-26,21704967,2.18
