week_end,block,voting_power
2022-06-05,14905988,2.087521969149691893
2022-06-12,14947132,2.077139674629285147
2022-06-19,14987809,2.066790291067782063
2022-06-26,15026233,2.056446147232306305
2022-07-03,15066169,2.046089178054364968
2022-07-10,15111487,2.035733321890122246
2022-07-17,15156813,2.025370462301222085
2022-07-24,15202012,2.014981917780815424
2022-07-31,15246903,2.00465530819191477
2022-08-07,15291833,1.994303339013973365
2022-08-14,15336463,2.149639006820079978
2022-08-21,15380672,2.139285719148987906
2022-08-28,15424591,2.128936284217621809
2022-09-04,15468373,2.118575359560228471
2022-09-11,15511691,2.108206267094616066
2022-09-18,15556726,2.097866729423523807
2022-09-25,15606660,2.087507140382568807
2022-10-02,15656732,2.077154469149832891
2022-10-09,15706816,2.066794503396549129
2022-10-16,15756957,2.056438321889840658
2022-10-23,15807086,2.046082003396830819
2022-10-30,15857151,2.03572636983532782
2022-11-06,15907253,2.025370068465605652
2022-11-13,15957380,2.01501352736985609
2022-11-20,16007503,2.004657842438490078
2022-11-27,16057597,1.994302517096165157
2022-12-04,16107727,1.983944914356579993
2022-12-11,16157748,2.284246476151066455
