week_end,block,voting_power
2022-06-05,14905988,2.123948451620951789
2022-06-12,14947132,2.113488770553869731
2022-06-19,14987809,2.103062245754226199
2022-06-26,15026233,2.092640999735975065
2022-07-03,15066169,2.082206832778956264
2022-07-10,15111487,2.071773787131710358
2022-07-17,15156813,2.061333685858355005
2022-07-24,15202012,2.050867708205625152
2022-07-31,15246903,2.04046412712902701
2022-08-07,15291833,2.030034997440526445
2022-08-14,15336463,2.019594792661653594
2022-08-21,15380672,2.009164334652345138
2022-08-28,15424591,2.219176645083246258
2022-09-04,15468373,2.207587279312982302
2022-09-11,15511691,2.195988777319830692
2022-09-18,15556726,2.184423334279937134
2022-09-25,15606660,2.172835462483227134
2022-10-02,15656732,2.161255328703386342
2022-10-09,15706816,2.149667035529520098
2022-10-16,15756957,2.138082975280723396
2022-10-23,15807086,2.126498761803869878
2022-10-30,15857151,2.11491531446730044
2022-11-06,15907253,2.103331120143954024
2022-11-13,15957380,2.09174665767150818
2022-11-20,16007503,2.080163152874417436
2022-11-27,16057597,2.068580050300975834
2022-12-04,16107727,2.056994400311089666
