week_end,block,voting_escrow
2022-06-05,14905988,2.72
2022-06-12,14947132,2.71
2022-06-19,14987809,2.70
2022-06-26,15026233,2.68
2022-07-03,15066169,2.67
2022-07-10,15111487,2.66
2022-07-17,15156813,2.64
2022-07-24,15202012,2.63
2022-07-31,15246903,2.62
2022-08-07,15291833,2.60
2022-08-14,15336463,2.59
2022-08-21,15380672,2.58
2022-08-28,15424591,2.57
2022-09-04,15468373,2.55
2022-09-11,15511691,2.54
2022-09-18,15556726,2.53
2022-09-25,15606660,2.51
2022-10-02,15656732,2.50
2022-10-09,15706816,2.49
2022-10-16,15756957,2.47
2022-10-23,15807086,2.46
2022-10-30,15857151,2.45
2022-11-06,15907253,2.43
2022-11-13,15957380,2.42
2022-11-20,16007503,2.41
2022-11-27,16057597,2.39
2022-12-04,16107727,2.38
2022-12-11,16157748,2.37
2022-12-18,16207857,2.35
2022-12-25,16258038,2.34
2023-01-01,16308190,2.33
2023-01-08,16358347,2.31
2023-01-15,16408488,2.30
2023-01-22,16458621,2.29
2023-01-29,16508758,2.28
2023-02-05,16558857,2.26
2023-02-12,16608958,2.25
2023-02-19,16658939,2.24
2023-02-26,16708711,2.22
2023-03-05,16758496,2.21
2023-03-12,16808258,2.20
2023-03-19,16858067,2.18
2023-03-26,16907900,2.17
2023-04-02,16957717,2.16
2023-04-09,17007072,2.14
2023-04-16,17055792,2.13
2023-04-23,17105310,2.12
2023-04-30,17155164,2.10
2023-05-07,17204968,2.09
2023-05-14,17254453,2.08
2023-05-21,17304051,2.06
2023-05-28,17353818,2.05
2023-06-04,17403556,2.04
2023-06-11,17453186,2.02
2023-06-18,17502962,2.01
2023-06-25,17552799,2.00
2023-07-02,17602620,1.99
2023-07-09,17652460,1.97
2023-07-16,17702170,1.96
2023-07-23,17752102,1.95
2023-07-30,17802131,1.93
2023-08-06,17852208,1.92
2023-08-13,17902217,1.91
2023-08-20,17952252,1.89
2023-08-27,18002285,1.88
2023-09-03,18052254,1.87
2023-09-10,18102263,1.85
2023-09-17,18152100,1.84
2023-09-24,18201951,1.83
2023-10-01,18251965,1.81
2023-10-08,18302049,1.80
2023-10-15,18352059,1.79
2023-10-22,18402122,1.77
2023-10-29,18452128,1.76
2023-11-05,18502099,1.75
2023-11-12,18552123,1.73
2023-11-19,18602145,1.72
2023-11-26,18652140,1.71
2023-12-03,18702159,1.70
2023-12-10,18752098,1.68
2023-12-17,18802046,1.67
2023-12-24,18851936,1.66
2023-12-31,18901758,1.64
2024-01-07,18951539,1.63
2024-01-14,19001407,1.62
2024-01-21,19051515,1.60
2024-01-28,19101334,1.59
2024-02-04,19151256,1.58
2024-02-11,19201123,1.56
2024-02-18,19250998,1.55
2024-02-25,19300884,1.54
2024-03-03,19350920,1.52
2024-03-10,19400982,1.51
2024-03-17,19450870,1.50
2024-03-24,19500711,1.48
2024-03-31,19550183,1.47
2024-04-07,19600114,1.46
2024-04-14,19650067,1.44
2024-04-21,19700063,1.43
2024-04-28,19750103,1.42
2024-05-05,19800180,1.41
2024-05-12,19850230,1.39
2024-05-19,19900268,1.38
2024-05-26,19950330,1.37
2024-06-02,20000416,1.35
2024-06-09,20050553,1.34
2024-06-16,20100627,1.33
2024-06-23,20150677,1.31
2024-06-30,20200783,1.30
2024-07-07,20250914,1.29
2024-07-14,20301021,1.27
2024-07-21,20351186,1.26
2024-07-28,20401322,1.25
2024-08-04,20451460,1.23
2024-08-11,20501655,1.22
2024-08-18,20551784,1.21
2024-08-25,20601892,1.19
2024-09-01,20651994,1.18
2024-09-08,20702171,1.17
2024-09-15,20752288,1.15
2024-09-22,20802390,1.14
2024-09-29,20852573,1.13
2024-10-06,20902785,1.12
2024-10-13,20952958,1.10
2024-10-20,21003064,1.09
2024-10-27,21053237,1.08
2024-11-03,21103393,1.06
2024-11-10,21153542,1.05
2024-11-17,21203704,1.04
2024-11-24,21253880,1.02
2024-12-01,21303934,1.01
2024-12-08,21354048,1.00
2024-12-15,21404197,0.98
2024-12-22,21454315,0.97
2024-12-29,21504402,0.96
2025-01-05,21554557,0.94
2025-01-12,21604681,0.93
2025-01-19,21654815,0.92
2025-01-26,21704967,0.90
2025-02-02,21755111,0.89
2025-02-09,21805233,0.88
2025-02-16,21855251,0.86
2025-02-23,21905311,0.85
2025-03-02,21955463,0.84
2025-03-09,22005591,0.82
2025-03-16,22055723,0.81
2025-03-23,22105863,0.80
2025-03-30,22156002,0.79
2025-04-06,22206151,0.77
2025-04-13,22256324,0.76
2025-04-20,22306494,0.75
2025-04-27,22356659,0.73
2025-05-04,22406693,0.72
2025-05-11,22456401,0.71
