week_end,block,voting_power
2022-06-05,14905988,2.79
2022-06-12,14947132,2.74
2022-06-19,14987809,2.68
2022-06-26,15026233,2.62
2022-07-03,15066169,2.56
2022-07-10,15111487,2.51
2022-07-17,15156813,2.45
2022-07-24,15202012,2.39
2022-07-31,15246903,2.33
2022-08-07,15291833,2.28
2022-08-14,15336463,2.22
2022-08-21,15380672,2.16
2022-08-28,15424591,2.10
2022-09-04,15468373,2.05
2022-09-11,15511691,1.99
2022-09-18,15556726,1.93
2022-09-25,15606660,1.87
2022-10-02,15656732,1.82
2022-10-09,15706816,1.76
2022-10-16,15756957,1.70
2022-10-23,15807086,1.64
2022-10-30,15857151,1.59
2022-11-06,15907253,1.53
2022-11-13,15957380,1.47
2022-11-20,16007503,1.41
2022-11-27,16057597,1.36
2022-12-04,16107727,1.30
2022-12-11,16157748,1.24
2022-12-18,16207857,1.18
2022-12-25,16258038,1.13
2023-01-01,16308190,1.07
2023-01-08,16358347,1.01
2023-01-15,16408488,0.95
2023-01-22,16458621,0.90
2023-01-29,16508758,0.84
