week_end,block,voting_power
2022-06-05,14905988,2.039603740904341653
2022-06-12,14947132,2.089920802356478587
2022-06-19,14987809,2.079858901671835023
2022-06-26,15026233,2.069802095165273505
2022-07-03,15066169,2.059732819575759528
2022-07-10,15111487,2.049664626082896966
2022-07-17,15156813,2.039589623704950885
2022-07-24,15202012,2.029489649865818304
2022-07-31,15246903,2.01944989054342677
2022-08-07,15291833,2.728516035260587605
2022-08-14,15336463,2.714835196809681066
2022-08-21,15380672,2.701167130520111682
2022-08-28,15424591,2.687504150489481873
2022-09-04,15468373,2.673826002104414487
2022-09-11,15511691,2.660137070850395202
2022-09-18,15556726,2.646487156853841279
2022-09-25,15606660,2.632810771705206279
2022-10-02,15656732,2.619143519217067227
2022-10-09,15706816,2.605466636745335913
2022-10-16,15756957,2.591794750110163026
2022-10-23,15807086,2.578122682630227843
2022-10-30,15857151,2.56445151937410414
2022-11-06,15907253,2.550779474499764244
2022-11-13,15957380,2.53710711314709033
2022-11-20,16007503,2.523435882074180766
2022-11-27,16057597,2.509765125718772229
2022-12-04,16107727,2.496091362819190521
2022-12-11,16157748,2.482419770056756365
