week_end,block,voting_power
2022-06-05,14905988,2.070041957058361973
2022-06-12,14947132,2.060044191964839067
2022-06-19,14987809,2.050078118905815343
2022-06-26,15026233,2.040117091508891905
2022-07-03,15066169,2.030143713782187048
2022-07-10,15111487,2.020171407846451206
2022-07-17,15156813,2.010192357872156485
2022-07-24,15202012,2.000188574260115264
2022-07-31,15246903,1.99024443169322677
2022-08-07,15291833,1.980275868781336565
2022-08-14,15336463,1.970296719872490858
2022-08-21,15380672,1.960326887300529666
2022-08-28,15424591,1.950360764774230449
2022-09-04,15468373,1.940383578067312631
2022-09-11,15511691,1.930398526063591426
2022-09-18,15556726,1.920441934232370527
2022-09-25,15606660,1.910466033674615527
2022-10-02,15656732,1.900496794709960251
2022-10-09,15706816,1.890520531392184969
2022-10-16,15756957,1.880547912163704338
2022-10-23,15807086,1.870575161022489059
2022-10-30,15857151,1.86060306944494702
2022-11-06,15907253,1.850630334792823572
2022-11-13,15957380,1.84065736929341449
2022-11-20,16007503,1.830685228248596958
2022-11-27,16057597,1.820713433474707877
2022-12-04,16107727,1.810739445651605273
